,code,market,name,w_highest,w_lowest,d_widest,d_indicate,average,index1,index2,index3,index4
52,1389-T,東証,UBS ETF 英国大型株100（FTSE 100）,11980.0,11500.0,230.0,23960.0,11734.0,0.019601159025055395,0.009599332220367279,0.040906766660985174,0.020442930153321975
53,1390-T,東証,UBS ETF MSCIアジア太平洋株（除く日本）,5260.0,4650.0,240.0,10380.0,4995.0,0.04804804804804805,0.023121387283236993,0.12212212212212212,0.0615539858728557
54,1391-T,東証,UBS ETF スイス株（MSCIスイス20／35）,2233.0,2090.0,64.0,4466.0,2169.4,0.029501244583755876,0.014330497089117778,0.06591684336682954,0.03307888040712468
55,1392-T,東証,UBS ETF 英国株（MSCI英国）,3335.0,3115.0,85.0,6585.0,3223.0,0.026372944461681664,0.012908124525436599,0.06825938566552901,0.034108527131782945
56,1394-T,東証,UBS ETF 先進国株（MSCIワールド）,22270.0,20690.0,920.0,43620.0,21340.0,0.04311152764761012,0.02109124254928932,0.07403936269915651,0.03677839851024209
57,1398-T,東証,SMAM 東証REIT指数上場投信,1800.0,1644.0,54.0,3575.0,1725.2,0.031300718757245535,0.015104895104895105,0.09042429863204265,0.04529616724738676
58,1400-T,JQグロース,ルーデン・ホールディングス,228.0,189.0,14.0,446.0,213.8,0.06548175865294667,0.03139013452914798,0.18241347053320858,0.09352517985611511
59,1405-T,東証2部,サーラ住宅,830.0,770.0,11.0,1658.0,819.8,0.01341790680653818,0.0066344993968636915,0.07318858258111735,0.0375
60,1407-T,JQスタンダード,ウエストホールディングス,892.0,832.0,18.0,1783.0,877.6,0.020510483135824976,0.010095344924284913,0.06836827711941659,0.03480278422273782
61,1408-T,JQグロース,サムシングホールディングス,568.0,530.0,9.0,1134.0,560.2,0.01606569082470546,0.007936507936507936,0.06783291681542306,0.03460837887067395
62,1414-T,東証1部,ショーボンドホールディングス,5220.0,4810.0,120.0,10360.0,5055.0,0.02373887240356083,0.011583011583011582,0.08110781404549951,0.040877367896311065
63,1417-T,東証1部,ミライト・ホールディングス,1441.0,1312.0,43.0,2842.0,1378.6,0.031191063397649793,0.015130190007037298,0.09357319019294938,0.046857973120232474
64,1418-T,JQスタンダード,インターライフホールディングス,260.0,229.0,8.0,516.0,250.0,0.032,0.015503875968992248,0.124,0.06339468302658487
65,1419-T,東証1部,タマホーム,566.0,515.0,20.0,1120.0,541.8,0.0369139904023625,0.017857142857142856,0.09413067552602437,0.04717853839037928
66,1420-T,東証1部,サンヨーホームズ,638.0,598.0,13.0,1269.0,623.0,0.02086677367576244,0.01024428684003152,0.06420545746388442,0.032362459546925564
